feature,coefficient
age,-0.04139556900102953
bmi,0.016237303222979928
n_valid_nights,-0.010597950088635844
log_steps,-0.03378596258294498
steps_cv,0.061381433566889354
employed,-0.008690329289409063
education_num,-0.019728325398254178
health_num,-0.03602039870323036
income_num,-0.02993711753980883
gender_Male,-0.021605826837731486
gender_Other,-0.0013105661808258205
race_ethnicity_Black or African American,0.020469604148778225
race_ethnicity_Hispanic or Latino,0.013870146917587804
race_ethnicity_More than one population,0.012342112020868365
race_ethnicity_Other,0.009798034470018915
race_ethnicity_Unknown,0.005109774605691832
race_ethnicity_White,0.01737401190673904
