feature,importance
steps_cv,0.13283625240947067
age,0.044911544433187435
log_steps,0.03040296958797033
health_num,0.025924541441293792
income_num,0.024177123448905612
education_num,0.013978094810338315
gender_Male,0.012677573375515717
bmi,0.011604560601246417
n_valid_nights,0.005938020420996781
employed,0.0047143650210601075
race_ethnicity_Black or African American,0.0028327061322158454
race_ethnicity_White,0.00026473330877507806
race_ethnicity_Other,0.00022291368051048367
race_ethnicity_Unknown,6.56292285389215e-05
gender_Other,2.037530012564126e-05
race_ethnicity_More than one population,-3.9634109493658085e-05
race_ethnicity_Hispanic or Latino,-0.00021695608638456766
