feature,importance
log_steps,0.045304273557482656
gender_Male,0.04303733054834369
race_ethnicity_White,0.03948423423829735
age,0.030703470382053122
bmi,0.03041200574967906
race_ethnicity_Black or African American,0.01032713504255849
n_valid_nights,0.006697023698443471
steps_cv,0.005375069983964087
employed,0.004055389877843818
race_ethnicity_Hispanic or Latino,0.003320774074521626
income_num,0.0014005023528325777
race_ethnicity_More than one population,0.001372212872373324
education_num,0.0012793763014348647
race_ethnicity_Other,0.001004986580144318
race_ethnicity_Unknown,0.0008164312949980434
health_num,0.0005410581966564853
gender_Other,0.00012716399127925547
